neuron_id,stim_strength,AP_Amplitude_mV,Input_Conductance_uS,Input_Resistance_MOhm,Latency_ms,RMP_mV,Rheobase_nA
MN1,0,92.24,0.038,26.02,2,-66.72,0.51
MN1,0.2,92.28,0.035,28.6,2.02,-66.77,0.53
MN1,0.3,92.29,0.036,28.16,2.02,-66.77,0.53
MN1,0.4,92.25,0.036,27.99,2.02,-66.71,0.53
MN1,0.5,92.29,0.036,28.08,2,-66.65,0.52
MN2,0,94.65,0.084,11.93,2.47,-68.34,0.85
MN2,0.2,94.84,0.075,13.31,2.55,-68.64,0.9
MN2,0.3,94.94,0.079,12.6,2.57,-68.76,0.88
MN2,0.4,95.01,0.083,12.06,2.6,-68.88,0.88
MN2,0.5,95.04,0.086,11.69,2.6,-68.97,0.88
MN3,0,92.89,0.072,13.84,3.37,-68.22,1.04
MN3,0.2,92.91,0.061,16.46,3.37,-68.28,1.04
MN3,0.3,92.91,0.06,16.62,3.37,-68.29,1.04
MN3,0.4,92.77,0.059,16.91,3.35,-68.29,1.03
MN3,0.5,92.9,0.058,17.31,3.35,-68.28,0.9
MN4,0,79.91,0.027,37.51,4,-65.67,0.61
MN4,0.2,79.54,0.022,45.49,3.8,-65.14,0.57
MN4,0.3,79.28,0.021,48.74,3.67,-64.8,0.53
MN4,0.4,78.99,0.019,52.6,3.52,-64.41,0.49
MN4,0.5,78.62,0.017,57.14,3.37,-63.96,0.44
MN5,0,92.23,0.043,23.08,3.22,-67.22,0.79
MN5,0.2,92.12,0.038,26.54,3.2,-67.1,0.8
MN5,0.3,92.12,0.036,27.4,3.15,-66.99,0.76
MN5,0.4,92.03,0.035,28.68,3.1,-66.85,0.73
MN5,0.5,91.94,0.033,30.44,3.02,-66.66,0.67
MN6,0,85.36,0.053,18.73,5.32,-67.8,1.36
MN6,0.2,85.07,0.039,25.33,4.97,-67.3,1.29
MN6,0.3,84.93,0.036,27.83,4.77,-67.03,1.25
MN6,0.4,83.73,0.033,30.5,4.57,-66.74,1.2
MN6,0.5,84.49,0.03,33.33,4.37,-66.43,1.16
